strategy,variant,parameterization,stage,mean_normalized_data_misfit,bimodality_coefficient,connectivity_mae_to_truth,largest_component_fraction_p50,fopt_p10,fopt_p50,fopt_p90,covered,source_artifact,source_artifact_sha256,source_report,source_report_sha256,source_git_commit,derived_git_commit
augmentation,fm_na16,fm,3,43.79566702765922,0.48594132529918116,0.1659375,0.7235259829230958,497650.778125,502545.6875,507004.88125,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,4,41.72261039811821,0.48331706565913696,0.16781249999999998,0.6844824058919804,498362.053125,501935.375,505817.7,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,5,35.450653079580704,0.4839108088850217,0.14937499999999998,0.6948776555666402,499047.375,502769.828125,506054.684375,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,6,35.31016804773827,0.4842090242321653,0.135625,0.6378541133092273,500136.990625,503532.0,506921.096875,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,7,27.468373881354978,0.4845954061630518,0.13249999999999998,0.5742208485379128,501219.99375,504745.03125,507652.846875,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,8,22.332563896984315,0.4831813180746173,0.13125,0.6219569133072427,501050.134375,504606.5,507785.075,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,9,16.66958378550205,0.48407119826284356,0.12937500000000002,0.604570052583559,502353.86875,505675.96875,507214.31875,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,10,21.53406532523733,0.481540172020028,0.13156250000000003,0.5803537405807158,500476.734375,504756.828125,507266.675,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,11,22.799490371890826,0.4836656659754842,0.12781250000000002,0.5611762682901775,501639.2625,504878.984375,507139.690625,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,12,24.438556653865557,0.48403581785302957,0.13125,0.5447781104850526,500409.240625,504338.953125,506996.671875,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
